,id,gage_id,channel_id,timeseries_id,comid
0,439,8154700,555bab42-b527-4e0d-a3a6-59474aed1ed3,17887a01-c5bb-487f-ac08-9779d648179b,wb-2436877
1,440,8155200,555bab42-b527-4e0d-a3a6-59474aed1ed3,bbe1b521-0335-45c0-8db5-37d5704dd6e3,wb-2436896
2,441,8155240,555bab42-b527-4e0d-a3a6-59474aed1ed3,4eb0a29e-7182-44c0-939a-e044f2aba736,wb-2436898
3,443,8155300,555bab42-b527-4e0d-a3a6-59474aed1ed3,805f3d37-f518-4478-9f68-45d896cc2239,wb-2436899
4,444,8155400,555bab42-b527-4e0d-a3a6-59474aed1ed3,18782f8c-c9e8-4410-8374-b2a937192e91,wb-2436900
5,447,8156675,555bab42-b527-4e0d-a3a6-59474aed1ed3,f71f37d6-516e-4e5c-9ae3-e36d29624ab4,wb-2431123
6,448,8156800,555bab42-b527-4e0d-a3a6-59474aed1ed3,d6a85092-ad74-4c53-ab9b-5f1287c4dbe5,wb-2431121
7,454,8158000,555bab42-b527-4e0d-a3a6-59474aed1ed3,1e46bc6f-bac7-4863-b37c-73fc94d6ee41,wb-2430597
8,456,8158035,555bab42-b527-4e0d-a3a6-59474aed1ed3,710772b1-7616-435f-9dbc-b2c98ec39ed4,wb-2431110
9,458,8158200,555bab42-b527-4e0d-a3a6-59474aed1ed3,11280fac-5c11-4373-8f90-0f5f6a07fc71,wb-2431094
10,459,8158380,555bab42-b527-4e0d-a3a6-59474aed1ed3,7855b92e-7379-410e-9c11-8d309ea20814,wb-2431099
11,460,8158600,555bab42-b527-4e0d-a3a6-59474aed1ed3,649a67a9-3e78-4a5f-9ef1-fedc9213b37c,wb-2431096
12,461,8158700,555bab42-b527-4e0d-a3a6-59474aed1ed3,101b2484-1224-46cf-9640-5ec22a6f13dc,wb-2436937
13,463,8158810,555bab42-b527-4e0d-a3a6-59474aed1ed3,aa2d6b6d-a093-42ce-9351-a12f17124b60,wb-2436999
14,466,8158827,555bab42-b527-4e0d-a3a6-59474aed1ed3,b9c2c2da-c43e-47f9-8f49-ec9ad1458502,wb-2436990
15,467,8158840,555bab42-b527-4e0d-a3a6-59474aed1ed3,a2115881-a304-4d21-86f1-1a5bbe9497ce,wb-2437008
16,468,8158860,555bab42-b527-4e0d-a3a6-59474aed1ed3,f5d36087-24f1-4c6f-a011-d5369d12a6c7,wb-2437006
17,469,8158920,555bab42-b527-4e0d-a3a6-59474aed1ed3,c79dad1e-9cee-4752-9e13-6655e2c7a2a0,wb-2436960
18,471,8158927,555bab42-b527-4e0d-a3a6-59474aed1ed3,2cee8e55-a2d7-4986-8c74-9ac76dead323,wb-2436960
19,473,8158970,555bab42-b527-4e0d-a3a6-59474aed1ed3,0a3c80e9-1710-48c5-87c3-a9aebad307d9,wb-2436956
20,474,8159000,555bab42-b527-4e0d-a3a6-59474aed1ed3,6a4789bc-af50-4dab-ac79-5fb461cc486c,wb-2436948
21,528,8172400,555bab42-b527-4e0d-a3a6-59474aed1ed3,ad6c5ce9-83d3-49ed-b9ad-b0519ff89248,wb-2416831
